description
"Biker Jacket - Male, Shirt, White Geometric, Synthetic, Spring 2018, brand: ZARA"
"Park Avenue Men Yellow Striped Round Neck T-shirt - Park Avenue, Men, Yellow striped T-shirt, has a round neck, short sleeves, color:  Yellow"
"Force 10 Men Black Synthetic Running Shoes - Force 10, Men, A pair of black running sports shoes, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Black"
"HERE&NOW Women Green Solid Bomber Jacket - HERE&NOW, Women, Green solid jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester, color:  Green"
"Crimsoune Club Women Black & Black Smart Slim Fit Solid Regular Trousers - Crimsoune Club, Women, Black and Black solid mid-rise trousers, button closure, and 5 pockets, color:  Black"
"XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN157 - XYXX, Men, Pack of 2 Yellow & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color: Unknown"
"Force 10 Men Black Mesh Running Shoes - Force 10, Men, A pair of black running sports shoes, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsole, color:  Black"
"SEJ by Nisha Gupta Green & Pink Printed Tissue Holder - SEJ by Nisha Gupta, Unisex, Set Content: 1 tissue holderPattern: PrintedFinish: MatteMaterial: Wood, color:  Green"
"Park Avenue Men Blue Solid Super Regular-Fit Tuxedo Suit - Park Avenue, Men, Blue solid suitBlue solid super slim-fit tuxedo blazer, has a shawl collar, single-breasted with double-button closure, long sleeves, two flap pockets, one welt pocket, and a double-vented back hemA pair of blue solid mid-rise trousers, has a waistband with belt loops, a zip fly with a button closure, two pockets.Comes with a pocket square, color: Blue"
"MSC Women Black Solid Heels - MSC, Women, A pair of black open toe sandals, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a slim heel, color:  Black"
"DressBerry Women Red Printed Sweatshirt - DressBerry, Women, Red printed sweatshirt, has a round neck, long sleeves, color:  Red"
"maxima Women Silver-Toned Analogue Watch 52801BMLI - maxima, Women, Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer, color:  Silver"
"MSC Women Pink Woven Design Open Toe Flats - MSC, Women, A pair of pink & gold-toned open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Pink"
"XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN116 - XYXX, Men, Pack of 3 White, Black & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color: Unknown"
"XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Illuminati Trunks XYTRNK3PCKN370 - XYXX, Men, Pack of 3 trunks in Navy & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation., color: Unknown"
"Crocs Santa Cruz  Men Brown Solid Slip-On - Crocs, Men, A pair of brown solid flip flopsFabric upper materialCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer, color:  Brown"
"Park Avenue Men Off-White & Blue Regular Fit Striped Formal Shirt - Park Avenue, Men, Off-White and blue striped formal shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket, color: Blue"
"Geox Women Burgundy Quilted Leather Slip-On Sneakers - Geox, Women, A pair of square toe burgundy slip-on sneakers, has regular styling, slip-on detailLeather upper with quilted detailCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Burgundy"
"Park Avenue Men Yellow Solid Polo Collar T-shirt - Park Avenue, Men, Yellow solid T-shirt, has a polo collar, short sleeves, one pocket, color:  Yellow"
"Next Look Men Blue Regular Fit Printed Formal Shirt - Next Look, Men, Blue printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket, color: Blue"
"Next Look Men Pink Regular Fit Printed Formal Shirt - Next Look, Men, Pink printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  Pink"
"Force 10 Men Navy Blue Mesh Running Shoes - Force 10, Men, A pair of navy blue running sports shoes, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsole, color: Blue"
"SHISEIDO 207 Pink Dynasty VisionAiry Gel Lipstick 1.6 g - SHISEIDO, Women, Colour shade name: Pink dynastyColour shade number: 207What it isA long-lasting, full-coverage lipstick featuring innovative Triple Gel Technology for high-impact, weightless color.What it doesUsing revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment toconverge with water for cushiony, comfortable, weightless color that stays put for six hours.Features:Shiseido's ultra-sleek lipstick bullet glides on to deliver bold, high- impact color in a single stroke.Inspired by modern Tokyo.Dermatologist-tested., color:  Pink"
"HERE&NOW Women Green Printed Jacket - HERE&NOW, Women, Green printed jacket, has a hooded, 2 pockets, zip closure, long sleeves, straight hem, and polyester, color:  Green"
"XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN85 - XYXX, Men, Pack of 3 Black, Blue & White regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color: Unknown"
"Next Look Men Grey Solid Polo Collar T-shirt - Next Look, Men, Grey solid T-shirt, has a polo collar, and short sleeves, color:  Grey"
"Geox Men Black Solid Leather Formal Derbys With Perforated Detail - Geox, Men, A pair of black round-toed formal derbysLeather upper with perforated detailCushioned footbedTextured and patterned outsole, has a stacked heelWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Black"
"MIAH Decor Black Set - MIAH Decor, Unisex, Pattern: SolidFinish: GlossyMaterial: Ceramic, color:  Black"
"SHISEIDO 211-Rose muse VisionAiry Gel Lipstick, 1.6gm - SHISEIDO, Women, Shade name - Rose museWhat it isA long-lasting, full-coverage lipstick featuring innovative Triple Gel Technology for high-impact, weightless color. This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.What it doesUsing revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated.Deliver bold, high-impact color in a single strokeWhat's in itTriple Gel Technology: Delivers a sensorial feel, true color payoff, and a weightless on the lips.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated., color:  Rose"
"XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Illuminati Briefs XYBRF3PCKN347 - XYXX, Men, Pack of 3 briefs in Navy & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation., color: Unknown"
"SEJ by Nisha Gupta Green & Pink Printed Table Runner - SEJ by Nisha Gupta, Unisex, Set content: One runner Type: Table runner Colour: Green and pink Fabric: Polycotton Shape: Rectangular Pattern: Printed Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings., color:  Green"
"Geox Men Black Solid Leather Comfort Sandals - Geox, Men, A pair of black comfort sandalsLeather upper with velcro closureCushioned footbedPatterned rubber outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Black"
"Geox Men Black & Grey Woven Design Sneakers - Geox, Men, A pair of round-toe black & grey sneakers, has regular styling, lace-up detailTextile woven design upperCushioned footbedTextured and patterned outsoleEngineered with Waterproof liningWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Black"
"Park Avenue Women Navy Blue Regular Fit Self Design Formal Shirt - Park Avenue, Women, Navy Blue self-design casual shirt, has a spread collar, three-quarter sleeves, button placket, and curved hem, color: Blue"
"Park Avenue Men Grey Solid Slim-Fit Single-Breasted Pure Cotton Blazer - Park Avenue, Men, Grey self-design slim-fit blazer, has a notched lapel, single-breasted with double button closures, long sleeves, three pockets, an attached lining and a vented back hem, color:  Grey"
"Park Avenue Men Blue Slim Fit Solid Formal Shirt - Park Avenue, Men, Blue solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color: Blue"
"LOCOMOTIVE Men Navy Blue & White Striped Round Neck T-shirt - LOCOMOTIVE, Men, Navy blue and white striped T-shirt, has a round neck, long sleeves, color: Blue"
"Park Avenue Men Pink Regular Fit Solid Formal Shirt - Park Avenue, Men, Pink solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  Pink"
"Bitiya by Bhama Girls Pink Striped A-Line Dress - Bitiya by Bhama, Girls, Pink striped woven A-line dress, has a round neck, sleeveless, hook and eye closure, flared hem, ruffle and embroidered detailing, color:  Pink"
"Next Look Men Fuchsia Solid Polo Collar T-shirt - Next Look, Men, Fuchsia solid T-shirt, has a polo collar, and short sleeves, color: Unknown"
"Aapno Rajasthan Set of 3 Beige Ceramic Planters - Aapno Rajasthan, Unisex, Set Contents: 3 planter potsColour: BeigePattern: TexturedShape: Owl ShapedType: Table planter, color:  Beige"
"Park Avenue Men White Slim Fit Printed Formal Shirt - Park Avenue, Men, White printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  White"
"MSC Women Black Solid Open Toe Flats - MSC, Women, A pair of black open-toed flats, has high-top styling, buckle detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Black"
"Crocs Crocband  Men Olive Green Solid Clogs - Crocs, Men, A pair of olive green solid flip flopsCroslite upper materialCushioned footbedOdor-resistant, easy to clean, and quick to dryVentilation ports for enhanced breathabilityLightweight, non-marking solesWater-friendly and buoyantPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer, color:  Green"
"Park Avenue Men Beige Colourblocked Polo Collar T-shirt - Park Avenue, Men, Beige colourblocked T-shirt, has a polo collar, short sleeves, color:  Beige"
"Fortune Men Black Leather Formal Slip-Ons - Fortune, Men, A pair of black round-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upperCushioned footbedTextured TPR outsole, has a stacked heel, color:  Black"
"Shiseido 04 Aura Pink InnerGlow CheekPowder 4 g - SHISEIDO, Women, Shade Number: 04Shade Name:  Aura Pink What it is:This blush and highlighter hybrid is the future of cheek color thanks to a unique cream-powder matrix system that helps this airy powder stay put for eight hours.What it does:In addition to the formula's high color payoff and superior glide, refined mica provides a lit-from-within glow. Similar to a silk kimono, this featherweight formula floats effortlessly over skin, delivering an instant, illuminating flush or a subtle contour without streaking. Available in ten light-reflecting shades.This product is dermatologist-tested. It is free of oil and fragrance.About the Brand: Shiseido is a global, Japanese cosmetics and skincare brand with unique Asian heritage, strong business innovation and positive country-of-origin effects. Shiseido makeup represents an exceptional collection of high-performance colors and textures, created to celebrate and enhance your natural beauty., color:  Pink"
"Park Avenue Men Brown Regular Fit Solid Formal Trousers - Park Avenue, Men, Brown solid mid-rise trousers, button closure, and 4 pocketsThe stylist has paired this pair of trousers with a belt. This pair of trousers does not come with a belt, color:  Brown"
"Geox Men Brown Solid Leather Formal Derbys - Geox, Men, A pair of round-toe brown formal derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Brown"
"Bene Kleed Men Red & Off-White Slim Fit Checked Casual Shirt - Bene Kleed, Men, Red and off-white checked casual shirt, has a button-down collar, long sleeves, button placket,  curved hem, one patch pocket, color:  Red"
"SEJ by Nisha Gupta Green Printed Table Runner - SEJ by Nisha Gupta, Unisex, Set content: One runnerType: Table runnerColour: GreenFabric: PolycottonShape: RectangularPattern: PrintedDisclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings., color:  Green"
"Sera Women Yellow & Grey Printed Kurta with Palazzos - Sera, Women, Yellow and grey printed kurta with palazzos Yellow and grey straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsYellow and grey  Solid palazzos, has partially elasticated waistband, button closure, color:  Yellow"
"Park Avenue Men Brown Slim Fit Solid Formal Shirt - Park Avenue, Men, Brown solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  Brown"
"Moedbuille Women Multicoloured Silver-Plated Handcrafted Jewellery Set - Moedbuille, Women, This jewellery set consists of a necklace and a pair of earringsMulticoloured silver-plated handcrafted mult-stranded necklace, has textured and stone-studded detail, a centre piece with multiple danglers, secured with an adjustable lobster claspA pair of matching stud earrings, secured with post and back closure, color:  Red"
"SHISEIDO 523 Majo ModernMatte Powder Lipstick 4g - SHISEIDO, Women, Shade Number: 523Shade Name: MajoWhat it is:This non-drying formula delivers matte, full-coverage color that feels utterly weightless and provides a powder-soft finish on lips.What it does:A unique blend of waxes and oils melts and transforms into an ultra-thin, featherweight powder, while spherical pigments float across lips to blur imperfections. Available in 24 shades inspired by Tokyo's vibrant nightlife, this statement-making lipstick provides eight hours of rich, velvety color. Dermatologist-tested.Features:Velvet Powders: Lend lips a matte, airbrushed finish that stays put for eight hours.Optical Brightening Pigments: Provide intense, vibrant color.Lightweight Waxes and Oils: Create a hydrating-yet-weightless veil of color that melts seamlessly onto lips., color:  Matte"
"ExclusiveLane Brown Wall Mounted Wooden Hand Carving Key Holder - ExclusiveLane, Unisex, Set Content: One keyholderColour: BrownPattern: OwlType: Wall-mounted keyholderFEATURES:- Perfect to organize all your keys at one place. - Can hold up to 6 keys.- Acts as a wall decor & enhances the beauty of your wall.- The key holder is hand carved in wood depicting owl motif.- Hand Carved in Sheesham Wood.- The product has been made by hand and may have slight irregularities that are a natural outcome of the human involvement in the process.- Comes in dark brown color., color:  Brown"
"Blue Saint Men Black & Blue Striped Round Neck T-shirt - Blue Saint, Men, Black and blue striped T-shirt, has a round neck, short sleeves, one pocket, color: Blue"
"XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Briefs XYBRF2PCKN277 - XYXX, Men, Pack of 2 briefs in Black & Blue with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation., color: Unknown"
"Shiseido 01 Inner Light InnerGlow CheekPowder 4 g - SHISEIDO, Women, Shade Number:01Shade Name: Inner Light What it is:This blush and highlighter hybrid is the future of cheek color thanks to a unique cream-powder matrix system that helps this airy powder stay put for eight hours.What it does:In addition to the formula's high color payoff and superior glide, refined mica provides a lit-from-within glow. Similar to a silk kimono, this featherweight formula floats effortlessly over skin, delivering an instant, illuminating flush or a subtle contour without streaking. Available in ten light-reflecting shades.This product is dermatologist-tested. It is free of oil and fragrance.About the Brand: Shiseido is a global, Japanese cosmetics and skincare brand with unique Asian heritage, strong business innovation and positive country-of-origin effects. Shiseido makeup represents an exceptional collection of high-performance colors and textures, created to celebrate and enhance your natural beauty., color: Unknown"
"Park Avenue Men Blue Slim Fit Self Design Formal Shirt - Park Avenue, Men, Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket, color: Blue"
"Park Avenue Women Red & Off-White Regular Fit Checked Casual Shirt - Park Avenue, Women, Red and off-white checked casual shirt, has a spread collar, long sleeves, button placket, and high-low hem, color:  Red"
"XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN139 - XYXX, Men, Pack of 3 Black, White & Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color: Unknown"
"XYXX Men Printed Pack of 2 Remix Pure Cotton Boxer XYBOX2PCKN155 - XYXX, Men, Pack of 2 Yellow & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color: Unknown"
"Park Avenue Men Blue Slim Fit Printed Formal Shirt - Park Avenue, Men, Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket, color: Blue"
"MASPAR White Printed Double Bed Duvet Cover - MASPAR, Unisex, Set content: 1 duvet cover Size: Double bed(Queen) Colour: White Pattern: Geometric GSM: 250 GSM, color:  White"
"XYXX Men Checkered Pack of 5 Checkmate Pure Cotton Boxer XYBOX5PCKN05 - XYXX, Men, Pack of 5 Navy+Grey+Red & Black  regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color:  Red"
"XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Trunks XYTRNK2PCKN237 - XYXX, Men, Pack of 2 trunks in Blue & Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation., color: Unknown"
"Geox Women Black Sequinned Slip-On Sneakers - Geox, Women, A pair of round-toe black slip-on sneakers, has zip closureSynthetic upper with sequin detailCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Black"
"shaze Women Silver-Plated CZ-Studded Finger Ring - shaze, Women,  Silver-plated CZ-studded butterfly-shaped finger ring , color:  Silver"
"Carlton London Women Peach-Coloured Regular Fit Solid Casual Shirt - Carlton London, Women, Peach-Coloured solid casual shirt, has a mandarin collar, three-quarter sleeves, concealed button placket, and straight hem, color:  Red"
"Park Avenue Men Grey Regular Fit Solid Formal Trousers - Park Avenue, Men, Grey solid mid-rise formal trousers, has a button closure, four pockets       The product does not come with the belt, color:  Grey"
"Next Look Men Black & White Regular Fit Checked Formal Shirt - Next Look, Men, Black and White checked formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  Black"
"HERE&NOW Men Navy Blue Colourblocked Padded Jacket - HERE&NOW, Men, Navy blue, red and white colourblocked jacket, has a hooded, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining, color: Blue"
"W Off-White & Lime Green Printed Kurta - W, Women, Off-white and lime green printed kurta, has a round neck, three-quarter sleeves, and side slits, color:  Green"
"XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 2 Illuminati Trunks XYTRNK2PCKN230 - XYXX, Men, Pack of 2 trunks in Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation., color: Unknown"
"Next Look Men Grey Striped Polo Collar T-shirt - Next Look, Men, Grey striped T-shirt, has a polo collar, short sleeves, and 1 pocket, color:  Grey"
"MSC Women Pink Solid Open Toe Flats - MSC, Women, A pair of pink open-toed flats, has regular styling, velcro detailSynthetic upperCushioned footbedTextured and patterned outsole, color:  Pink"
"LOCOMOTIVE Men Black Slim Fit Checked Casual Shirt - LOCOMOTIVE, Men, Black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket, color:  Black"
"Geox Women Black Leather Solid Pumps - Geox, Women, A pair of black pointed toe pumps, has regular styling, closed back detailLeather upperCushioned footbedTextured and patterned outsole, has a slim heelWarranty: 6 monthsWarranty provided by brand/manufacturer, color:  Black"
"HERE&NOW Women Olive Green Self Design Biker Jacket - HERE&NOW, Women, Olive Green self-design jacket, has a lapel collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester, color:  Green"
"XYXX Men Printed Pack of 3 Remix Pure Cotton Boxer XYBOX3PCKN132 - XYXX, Men, Pack of 3 Black, Light Blue & Yellow regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color: Unknown"
"Tulsattva Women Yellow & Beige Solid A-Line Kurta - Tulsattva, Women, Yellow and beige solid A-line kurta, has a round neck, three-quarter sleeves, flared hem, color:  Yellow"
"Geox Men Taupe Solid Suede Slip-On Sneakers - Geox, Men, A pair of round-toe taupe solid slip-on sneakers, has regular styling, slip-on detailSuede upperCushioned footbedTextured and patterned outsoleEngineered with waterproof lining Warranty: 6 monthsWarranty provided by brand/manufacturer, color: Unknown"
"Geox Men Navy Blue Leather Brogues - Geox, Men, A pair of round-toe navy blue brogues, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleEngineered with waterproof liningWarranty: 6 monthsWarranty provided by brand/manufacturer, color: Blue"
"DressBerry Women Grey Printed Sweater - DressBerry, Women, Grey printed sweater, has a round neck, long sleeves, and ribbed hem, color:  Grey"
"Raymond Men Pink Regular Fit Striped Formal Shirt - Raymond, Men, Pink striped formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  Pink"
"SCORPIUS Women Blue Floral Print Maxi Dress - SCORPIUS, Women, Blue printed knitted maxi %S, has a boat neck, sleeveless, concealed zip closure, an attached lining, and flared hem, color: Blue"
"XYXX Men Checkered Pack of 3 Checkmate Pure Cotton Boxer XYBOX3PCKN109 - XYXX, Men, Pack of 3 Red, Grey &  Black  regular-fit checked boxers with a microfibre waistband.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Single back patch pocket to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes.., color:  Red"
"Park Avenue Men Blue Regular Fit Solid Formal Shirt - Park Avenue, Men, Blue solid formal shirt, has a cutaway collar, long sleeves, button placket,  straight hem, one patch pocket, color: Blue"
"XYXX Men IntelliSoft Antimicrobial Micro Modal Pack of 3 Illuminati Trunks XYTRNK3PCKN377 - XYXX, Men, Pack of 3 trunks in Blue, Navy & Black with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation., color: Unknown"
"Moedbuille Women Pink & Greman Silver Necklace - Moedbuille, Women, Pink and orange silver-plated necklaceMaterial and stone type: German Silver with Artificial Stones and BeadsPlating: Silver-PlatedClosure: Lobster ClosureWarranty: 1 monthWarranty provided by brand/manufacturer, color:  Pink"
"SHISEIDO 222 Ginza Red VisionAiry Gel Lipstick 1.6 g - SHISEIDO, Women, Shade Number : 222Shade Name: Ginza Red       What it is:Using revolutionary Triple Gel Technology, this breakthrough formula allows high levels of pigment to converge with water for cushiony, comfortable, weightless color that stays put for six hours.What it does:This ultra-sleek lipstick bullet glides on to deliver bold, high-impact color in a single stroke. Available in 28 shades inspired by modern Tokyo. Dermatologist-tested.Features:Triple Gel Technology: Delivers a sensorial feel, true color payoff, and a weightless on the lips.Water Infused: Delivers a cooling sensation upon application.Moisturizing Ingredients: Help keep lips feeling soft and hydrated., color:  Red"
"Park Avenue Men Blue Slim Fit Solid Formal Shirt - Park Avenue, Men, Blue solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket, color: Blue"
"SEJ by Nisha Gupta Red Printed Table Placemat - SEJ by Nisha Gupta, Unisex, Set content: 1 table matShape: RectangleColour: RedPattern: PrintedSuitable For: 1 seater tableMaterial: Cotton, color:  Red"
"Park Avenue Men Black Slim Fit Solid Formal Trousers - Park Avenue, Men, Black solid mid-rise trousers, button closure, and 4 pockets, color:  Black"
"Park Avenue Men Lavender Regular Fit Solid Formal Shirt - Park Avenue, Men, Lavender solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color:  Lavender"
"MIAH Decor Off-White & Maroon 2-Pieces Printed Ceramic Tea Cups Set - MIAH Decor, Unisex, Content: 2 pieces cups setPattern: PrintedFinish: GlossyMaterial: CeramicFeatures: Dishwasher and Microwave Safe, color:  White"
"Next Look Men Blue Slim Fit Printed Formal Shirt - Next Look, Men, Blue printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket, color: Blue"
